OBJECTID,PIDN,DISTRICT,MAP,COMMENT,PIDN_ORIGINAL,RESOLUTION,RES_DATE,BOOK,PAGE,INSTRUMENT,REC_DATE,LAST_REVIEW,FLAG,RES_ACRES
21242,47000GH011400,47,GH,,47000GH011400,2017-03,2017/01/03 00:00:00+00,2407,7884,2017005951,2017/02/07 00:00:00+00,2010/02/01 00:00:00+00,,7
21243,25000CM001300,25,CM,,25000CM001300,03-2018,2018/09/05 00:00:00+00,2486,5914,2018039285,2018/09/07 00:00:00+00,1970/01/01 00:00:00+00,,57.34999847
21244,34000DO0058A0,34,DO,,34000DO0058A0,4,1993/12/30 00:00:00+00,0806,0165,1994001078,1994/01/05 00:00:00+00,1970/01/01 00:00:00+00,,25.82999992
21245,22000AG001900,22,AG,<Null>,22000AG001900,89-1,1989/03/08 00:00:00+00,102E,0590,1989009509,1989/03/14 00:00:00+00,1970/01/01 00:00:00+00,,102
21246,45000DJ001300,45,DJ,,45000DJ001300,2011-02,2011/03/02 00:00:00+00,2176,1099,2012026232,2012/05/30 00:00:00+00,1970/01/01 00:00:00+00,,71.52999878
21247,34000DO000100,34,DO,,34000DO000100,4,1993/12/30 00:00:00+00,0806,0165,1994001078,1994/01/05 00:00:00+00,1970/01/01 00:00:00+00,,128.33000183
21248,34000DO005500,34,DO,,34000DO005500,4,1993/12/30 00:00:00+00,0806,0165,1994001078,1994/01/05 00:00:00+00,1970/01/01 00:00:00+00,,132.97999573
21249,34000DO005400,34,DO,,34000DO005400,16,2018/06/05 00:00:00+00,2474,2932,2018024732,2018/06/13 00:00:00+00,1970/01/01 00:00:00+00,,89
21250,50000MC006700,49,MC,,50000MC006700,2018-05,2018/05/16 00:00:00+00,2477,2247,2018028180,2018/07/05 00:00:00+00,1970/01/01 00:00:00+00,,48.65000153
21251,21000EM000600,21,EM,,21000EM000600,2018-07,2018/10/08 00:00:00+00,2491,1378,2018044698,2018/10/11 00:00:00+00,1970/01/01 00:00:00+00,,100
21252,25000EM0006A0,21,EM,,25000EM0006A0,2018-07,2018/10/08 00:00:00+00,2491,1378,2018044698,2018/10/11 00:00:00+00,1970/01/01 00:00:00+00,,7.5
21253,21000EL0068C0,21,EL,,21000EL0068C0,2018-07,2018/10/08 00:00:00+00,2491,1378,2018044698,2018/10/11 00:00:00+00,1970/01/01 00:00:00+00,,4.42999983
21254,21000EL007000,21,EL,,21000EL007000,2018-07,2018/10/08 00:00:00+00,2491,1378,2018044698,2018/10/11 00:00:00+00,1970/01/01 00:00:00+00,,24.5
21255,21000GO0024E0,21,GO,,21000GO0024E0,6,1994/01/10 00:00:00+00,0814,0739,1994003818,1994/02/02 00:00:00+00,1970/01/01 00:00:00+00,,90
21256,47000FI005500,47,FI,,47000FI005500,2017-03,2017/01/03 00:00:00+00,2407,7884,2017005951,2017/02/07 00:00:00+00,2010/02/01 00:00:00+00,,61.90000153
