OBJECTID,PIDN,DISTRICT,MAP,COMMENT,PIDN_ORIGINAL,RESOLUTION,RES_DATE,BOOK,PAGE,INSTRUMENT,REC_DATE,LAST_REVIEW,FLAG,RES_ACRES
21352,3600047000900,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21353,3600047001000,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21354,3600047001100,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21355,3600047001200,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21356,3600047001300,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21357,3600047001500,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21358,3600047001600,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,,0
21359,3600047002300,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21360,3600047002400,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21361,3600047002500,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21362,3600047002600,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21363,3600047002700,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21364,3600047002800,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21365,3600047002900,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21366,3600047003000,36,47,,36000LH011400,2002-09,2002/07/09 00:00:00+00,1504,8310,2002056409,2002/07/10 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
